id,timestamp,source,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,image_width,image_height,model_used
249,2025-11-09 22:55:20,live_feed,Class_56,0.497209370136261,0.0,601.0,250.0,1072.0,1920,1080,YOLOv8
250,2025-11-09 22:55:20,live_feed,Class_41,0.3149241805076599,0.0,599.0,250.0,1079.0,1920,1080,YOLOv8
251,2025-11-09 22:55:20,live_feed,Class_13,0.18880872428417206,1.0,0.0,1827.0,1054.0,1920,1080,YOLOv8
252,2025-11-09 22:55:20,live_feed,OxygenTank,0.1569061577320099,1058.0,598.0,1915.0,1067.0,1920,1080,YOLOv8
253,2025-11-09 22:55:20,live_feed,Class_56,0.49656254053115845,0.0,601.0,250.0,1072.0,1920,1080,YOLOv8
254,2025-11-09 22:55:20,live_feed,Class_41,0.31450942158699036,0.0,599.0,250.0,1079.0,1920,1080,YOLOv8
255,2025-11-09 22:55:20,live_feed,Class_13,0.18803492188453674,1.0,0.0,1827.0,1054.0,1920,1080,YOLOv8
256,2025-11-09 22:55:20,live_feed,OxygenTank,0.15733575820922852,1058.0,598.0,1915.0,1067.0,1920,1080,YOLOv8
242,2025-11-09 22:55:19,live_feed,Class_41,0.3145199120044708,0.0,599.0,250.0,1079.0,1920,1080,YOLOv8
243,2025-11-09 22:55:19,live_feed,Class_13,0.18808239698410034,1.0,0.0,1827.0,1054.0,1920,1080,YOLOv8
244,2025-11-09 22:55:19,live_feed,OxygenTank,0.15708497166633606,1058.0,598.0,1915.0,1067.0,1920,1080,YOLOv8
245,2025-11-09 22:55:19,live_feed,Class_56,0.4972098171710968,0.0,601.0,250.0,1072.0,1920,1080,YOLOv8
246,2025-11-09 22:55:19,live_feed,Class_41,0.3149251341819763,0.0,599.0,250.0,1079.0,1920,1080,YOLOv8
247,2025-11-09 22:55:19,live_feed,Class_13,0.18848155438899994,1.0,0.0,1827.0,1054.0,1920,1080,YOLOv8
248,2025-11-09 22:55:19,live_feed,OxygenTank,0.1565379649400711,1058.0,598.0,1915.0,1067.0,1920,1080,YOLOv8
237,2025-11-09 22:55:18,live_feed,Class_56,0.4965880811214447,0.0,601.0,250.0,1072.0,1920,1080,YOLOv8
238,2025-11-09 22:55:18,live_feed,Class_41,0.31447160243988037,0.0,599.0,250.0,1079.0,1920,1080,YOLOv8
239,2025-11-09 22:55:18,live_feed,Class_13,0.18860599398612976,1.0,0.0,1827.0,1054.0,1920,1080,YOLOv8
240,2025-11-09 22:55:18,live_feed,OxygenTank,0.15539658069610596,1058.0,598.0,1915.0,1067.0,1920,1080,YOLOv8
241,2025-11-09 22:55:18,live_feed,Class_56,0.4966149926185608,0.0,601.0,250.0,1072.0,1920,1080,YOLOv8
231,2025-11-09 22:55:17,live_feed,SafetySwitchPanel,0.6279126405715942,879.0,231.0,1410.0,634.0,1920,1080,YOLOv8
232,2025-11-09 22:55:17,live_feed,Class_8,0.173833429813385,0.0,350.0,102.0,384.0,1920,1080,YOLOv8
233,2025-11-09 22:55:17,live_feed,Class_56,0.4912909269332886,0.0,601.0,250.0,1072.0,1920,1080,YOLOv8
234,2025-11-09 22:55:17,live_feed,Class_41,0.3262571394443512,0.0,599.0,250.0,1079.0,1920,1080,YOLOv8
235,2025-11-09 22:55:17,live_feed,Class_13,0.19009459018707275,1.0,0.0,1826.0,1054.0,1920,1080,YOLOv8
236,2025-11-09 22:55:17,live_feed,OxygenTank,0.15692120790481567,1058.0,598.0,1915.0,1067.0,1920,1080,YOLOv8
227,2025-11-09 22:55:16,live_feed,SafetySwitchPanel,0.6269099116325378,879.0,231.0,1410.0,634.0,1920,1080,YOLOv8
228,2025-11-09 22:55:16,live_feed,Class_8,0.17047353088855743,0.0,350.0,102.0,384.0,1920,1080,YOLOv8
229,2025-11-09 22:55:16,live_feed,SafetySwitchPanel,0.6275162100791931,879.0,231.0,1410.0,634.0,1920,1080,YOLOv8
230,2025-11-09 22:55:16,live_feed,Class_8,0.17383220791816711,0.0,350.0,102.0,384.0,1920,1080,YOLOv8
223,2025-11-09 22:55:15,live_feed,SafetySwitchPanel,0.627098560333252,879.0,231.0,1410.0,634.0,1920,1080,YOLOv8
224,2025-11-09 22:55:15,live_feed,Class_8,0.1663621962070465,0.0,350.0,102.0,384.0,1920,1080,YOLOv8
225,2025-11-09 22:55:15,live_feed,SafetySwitchPanel,0.626610279083252,879.0,231.0,1410.0,634.0,1920,1080,YOLOv8
